Reference,Qty,Value,Footprint,Datasheet
C1,1,10uF,Capacitor_SMD:C_1210_3225Metric,
C2,1,100nF,Capacitor_SMD:C_0805_2012Metric,
C3,1,KRM55TR71H226MH01K,KRM55TR71H226MH01K:CAPC6153X500N,
C4,1,10uF,Capacitor_SMD:C_1206_3216Metric,
C5,1,0.47uF,Capacitor_SMD:C_0805_2012Metric,
C6,1,33uF,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/kyocera-avx/TPSA336K006R0600/563859
"C7,C8",2,0.1u,Capacitor_SMD:C_0805_2012Metric,
D1,1,D_Schottky,mcp16301:schottky_diode_B140-13-F,
D2,1,1N4148,Diode_SMD:D_SOD-323,
"J1,J2,J3,J4,J7",5,Conn_01x02,Connector_Molex:Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
J5,1,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal,
J6,1,Conn_01x04,Connector_Molex:Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,
L1,1,1231AS-H-150M=P3,1231AS_H_150M_P3:IND_1231AS-H-150M=P3,
R1,1,51.2k,Resistor_SMD:R_0805_2012Metric,
R2,1,10k,Resistor_SMD:R_0805_2012Metric,
U1,1,mcp16301,mcp16301:mcp16301,
U2,1,LM3940IMPX-3.3/NOPB,MP04A,LM3940IMPX-3.3/NOPB
U3,1,Teensy4.1,Teensy:Teensy41,
